ruth,taylor
william,jamie
horace,daniel
mary,aubrey
susie,alison
amy,miranda
john,jacob
henry,arthur
edward,aaron
elizabeth,ethan
wrinkled,unwrinkled
wrinkled,placid
unattractive,charming
untidy,neat
unattractive,attractive
epicophosis,hearing
deaf,hearing
earless,hearing
sedentary,energetic
inactive,active
sick,healthy
fragile,strong
tired,energized
unhealthy,healthy
inflexibility,flexibility
constraint,flexibility
old-fashioned,modern
ancient,current
olden,young
old,young
outdated,new
outdated,fresh
cautiousness,carelessness
cautiousness,indiscretion
self-discipline,blandness
dejected,cheerful